ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID
1,14,2017,12500,15735,150,55.40000153,1.399999976,2,5
2,19,2016,16500,36203,20,64.19999695,2,1,1
3,14,2016,11000,29946,30,55.40000153,1.399999976,2,5
4,17,2017,16800,25952,145,67.30000305,2,1,1
5,16,2019,17300,1998,145,49.59999847,1,2,5
6,14,2016,13900,32260,30,58.90000153,1.399999976,1,5
7,19,2016,13250,76788,30,61.40000153,2,1,1
8,17,2016,11750,75185,20,70.59999847,2,2,1
9,16,2015,10200,46112,20,60.09999847,1.399999976,2,5
10,14,2016,12000,22451,30,55.40000153,1.399999976,2,5
11,16,2017,16100,28955,145,58.90000153,1.399999976,2,5
12,19,2016,16500,52198,125,57.59999847,2,1,1
13,58,2016,17000,44915,145,52.29999924,2,2,1
14,16,2017,16400,21695,30,58.90000153,1.399999976,2,5
15,19,2015,15400,47348,30,61.40000153,2,2,1
16,16,2017,14500,26156,145,58.90000153,1.399999976,1,5
17,58,2016,15700,28396,145,53.29999924,2,1,1
18,16,2014,13900,30516,30,56.5,1.399999976,1,5
19,59,2016,19000,37652,200,47.09999847,2,1,1
20,58,2014,17000,34110,145,47.90000153,1.399999976,2,5
21,18,2017,17300,37100,145,67.30000305,2,1,1
22,59,2016,20200,23714,200,47.09999847,2,1,1
23,18,2017,22500,21649,145,58.90000153,3,1,1
24,19,2015,17500,62748,150,53.29999924,3,1,1
25,59,2016,20000,23789,200,47.09999847,2,1,1
26,17,2017,18500,17418,145,62.79999924,2,1,1
27,18,2017,19500,33300,145,61.40000153,2,1,1
28,14,2018,15800,10793,145,56.5,1.399999976,2,5
29,17,2018,17200,25138,145,70.59999847,2,1,1
30,19,2015,14000,61176,30,62.79999924,2,2,1
31,14,2015,9500,54754,0,76.30000305,1.600000024,1,1
32,58,2017,16500,21369,125,51.40000153,1.399999976,2,5
33,58,2014,15000,39190,205,47.90000153,2,1,1
34,58,2017,16000,47482,150,47.90000153,1.399999976,1,5
35,58,2016,16900,40501,150,51.40000153,2,1,1
36,58,2014,12300,43195,200,47.90000153,2,1,1
37,14,2017,10800,31447,145,67.30000305,1,2,5
38,19,2016,19400,34030,125,58.90000153,2,1,1
39,17,2017,16000,29063,145,70.59999847,2,2,1
40,16,2017,17100,29545,145,65.69999695,2,2,1
41,16,2015,11300,75619,20,68.90000153,2,2,1
42,58,2016,17200,39603,160,50.40000153,2,1,1
43,58,2017,20300,42908,145,51.40000153,2,1,1
