ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID
38468,41,2017,7999,17307,145,58.90000153,1.200000048,2,5
38469,81,2016,14499,25233,235,43.5,2,1,1
38470,81,2016,11399,37877,30,61.70000076,1.700000048,2,1
38471,40,2016,6499,23789,20,60.09999847,1,2,5
38472,49,2015,10199,33177,160,51.40000153,2,2,1
38473,40,2015,6149,41650,20,60.09999847,1,2,5
38474,41,2015,6799,39547,30,55.40000153,1.200000048,2,5
38475,81,2016,14199,30300,125,57.59999847,1.700000048,1,1
38476,43,2018,10399,38082,145,51.40000153,1.399999976,1,5
38477,81,2016,12163,21014,30,61.70000076,1.700000048,2,1
38478,81,2017,13200,22888,150,61.70000076,1.700000048,2,1
38479,43,2017,10000,20000,150,56.5,1,2,5
38480,41,2015,6900,26413,30,55.40000153,1.200000048,2,5
38481,81,2019,17750,10000,150,34.90000153,1.600000024,2,5
38482,81,2017,14600,18626,125,57.59999847,1.700000048,4,1
38483,44,2015,8700,31979,30,65.69999695,1.700000048,2,1
38484,81,2017,13000,26685,30,61.70000076,1.700000048,2,1
38485,40,2018,7100,35000,145,60.09999847,1,2,5
38486,40,2016,7500,6000,20,57.59999847,1.200000048,2,5
38487,81,2017,12000,17059,30,61.70000076,1.700000048,2,1
38488,81,2017,11695,49174,145,44.79999924,1.600000024,2,5
38489,41,2015,7995,6413,30,55.40000153,1.200000048,2,5
38490,81,2015,10700,34177,30,61.70000076,1.700000048,2,1
38491,40,2016,8100,7447,30,57.59999847,1.200000048,2,5
38492,49,2013,8200,34500,145,53.29999924,1.700000048,2,1
38493,40,2016,6600,16751,30,57.59999847,1.200000048,2,5
38494,81,2018,13900,16265,150,44.79999924,1.600000024,2,5
38495,81,2018,13700,19087,145,44.79999924,1.600000024,2,5
38496,43,2017,8300,38206,145,78.40000153,1.600000024,2,1
38497,81,2016,15800,20025,125,57.59999847,1.700000048,1,1
38498,47,2018,15000,32227,135,78.5,1.600000024,1,3
38499,81,2015,15200,28904,200,46.29999924,0,1,1
38500,40,2014,7700,8646,160,45.59999847,0,1,5
38501,43,2017,10500,17663,20,72.40000153,0,1,1
38502,41,2017,11400,12661,145,44.09999847,0,1,5
38503,50,2018,12995,7359,145,52.29999924,1,2,5
38504,81,2019,18000,4353,145,35.29999924,1.600000024,2,5
38505,40,2018,9000,7126,145,60.09999847,0,2,5
38506,83,2014,8300,36324,160,43.5,1.600000024,2,5
38507,40,2018,8500,12948,145,60.09999847,0,2,5
38508,43,2019,14500,2481,145,41.5,0,2,5
38509,81,2016,13800,27311,30,61.70000076,0,2,1
38510,43,2016,9000,34443,0,78.40000153,0,2,1
38511,81,2017,13800,16961,30,61.70000076,0,2,1
