ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID
14568,76,2005,5200,63000,325,32.09999847,1.799999952,1,5
14569,69,2017,34948,27000,20,61.40000153,2.099999905,1,3
14570,75,2016,49948,6200,555,28,5.5,1,5
14571,32,2016,61948,16000,325,30.39999962,4,1,5
14572,32,2016,73948,4000,325,30.10000038,4,1,5
14573,75,2011,149948,3000,570,21.39999962,6.199999809,1,5
14574,38,2018,30948,16000,145,47.90000153,2.099999905,1,1
14575,69,2012,10948,107000,265,36.70000076,3.5,1,5
14576,32,2019,139948,12000,145,21.39999962,4,1,5
14577,35,2017,19750,15258,30,64.19999695,2.099999905,1,1
14578,13,2020,32980,606,145,35.79999924,2,1,5
14579,13,2020,26980,1000,145,62.79999924,1.5,1,1
14580,24,2019,23750,278,145,55.40000153,2,1,1
14581,37,2019,67980,5500,145,21.70000076,4,1,5
14582,35,2016,18980,41713,125,56.59999847,2.099999905,1,1
14583,24,2017,15890,24841,150,68.90000153,1.5,1,1
14584,25,2017,19890,30281,150,60.09999847,2.099999905,1,1
14585,38,2019,56800,2483,145,29.5,3,1,5
14586,24,2017,17513,14128,150,68.90000153,2.099999905,1,1
14587,25,2014,15701,20498,20,64.19999695,2.099999905,1,1
14588,25,2019,26601,9949,150,64.19999695,2,1,1
14589,25,2016,17672,31656,30,64.19999695,2.099999905,1,1
14590,31,2015,20769,21874,165,51.40000153,3,1,1
14591,31,2017,22270,13398,165,52.29999924,3,1,1
14592,34,2015,34129,13581,330,36.20000076,3,1,1
14593,75,2017,20601,16730,150,70.59999847,2.099999905,1,1
14594,30,2016,25077,13887,165,49.59999847,3,1,1
14595,75,2017,21609,2780,30,70.59999847,2.099999905,1,1
14596,75,2018,22914,8725,145,47.90000153,2,1,5
14597,25,2016,19328,25042,30,64.19999695,2.099999905,1,1
14598,25,2019,29546,7990,145,54.29999924,2,1,1
14599,37,2019,35611,26153,145,45.59999847,3,1,1
14600,25,2017,15311,31371,20,65.69999695,2.099999905,1,1
14601,13,2020,28128,2563,145,47.90000153,1.299999952,1,5
